R1,一二子级连接面解锁
G24,性能
G25,成功率
G26,成本
G27,承载
G28,承载强度
G29,操作质量
G30,数量
G31,整体可靠性
G32,整体成本
G33,整体质量
G34,最大连接力
G35,机构运动可靠性
G36,机械可靠度
G37,机械结构可靠性
G38,机械结构的可靠性
G39,材料
G40,构寿命
G41,温度
G42,火工装置可靠性
G43,热流
G44,稳定性
G45,系统可靠性
G46,系统指标
G47,结构可靠性
G48,舱段长度
G49,装置成本
G50,装置重量
G51,设计偏差
G52,质量
G53,轻量化
G54,输出功率
G55,运行风险
G56,运载能力
G57,近地轨道初始质量
G58,连接分离可靠性
G59,重量
G60,风险
G61,高可靠性
G62,高承载
E1,仿真模型
E2,仿真计算
E3,偏差矩阵计算
E4,决策权衡
E5,决策问题形式化表征
E6,分离产品的设计
E7,分离产品的选择
E8,分离动力学仿真分析
E9,分离动态方程及参数化模型
E10,分离方案的设计
E11,分离系统架构多目标优化
E12,分离系统架构形式化表征
E13,分离系统架构方案权衡
E14,分离系统架构方案约简
E15,分离系统的仿真分析
E16,分离系统的设计
E17,分离试验设计
E18,动力学仿真
E19,动力学仿真分析
E20,动力学模型
E21,动态可靠性分析
E22,参数设计
E23,可视化分析
E24,可视化探索权重区间
E25,可靠性分析
E26,固体火箭一二级分离
E27,备选方案的排序和打分
E28,备选架构评估
E29,多学科优化工作流
E30,多指标架构的评价
E31,多目标优化
E32,多目标搜索
E33,定义约束类型
E34,定义约束规则
E35,建立分离仿真计算模型
E36,建立数学模型
E37,建立系统架构模型
E38,形式化表示
E39,得到帕累托前沿
E40,得到帕累托前沿解
E41,指标分析
E42,指标权重的权衡
E43,方案排序和优选
E44,方案综合打分
E45,权衡分析
E46,权衡架构方案
E47,权重敏感性分析
E48,权重敏感性分析中
E49,权重确定
E50,权重设置
E51,构建分离系统架构模型
E52,架构决策
E53,架构决策的求解与权衡
E54,架构形式化表征
E55,架构打分排序
E56,架构方案的权衡
E57,架构权衡
E58,架构模型的权衡
E59,架构的优化分析
E60,架构的求解与权衡
E61,架构的评价和选择
E62,架构设计空间约简
E63,架构设计空间缩减和求解
E64,架构设计空间进行约简
E65,柔性机构可靠性分析
E66,械可靠性分析
E67,满意方案的选取
E68,火箭一二级级间热分离仿真计算
E69,理想点排序
E70,确定各指标的权重
E71,确定属性权重
E72,确定指标权重
E73,确定权重组合
E74,确定架构决策权衡指标
E75,确定满意架构方案
E76,空间可视化
E77,系架构权衡与评价
E78,系统架构决策问题形式化表征
E79,系统架构建模
E80,系统架构形式化表征
E81,系统架构方案约简
E82,约束建模
E83,约束求解
E84,结构可靠度分
E85,结构可靠性分析
E86,解空间三元图可视化
E87,计算帕累托前沿
E88,计算权重组合
E89,运载火箭分离动态仿真
E90,选出满意架构
E91,预测分离过程的安全性
F1,CSP方法
F2,MBSE方法
F3,SYSML方法
F4,TOPSIS排序
F5,TOPSIS排序方法
F6,TOPSIS方法
F7,一次二阶矩方法
F8,一次二阶矩法
F9,一阶可靠性技术
F10,三元图
F11,二次二阶矩方法
F12,二次二阶矩法
F13,二阶矩方法
F14,二阶矩法
F15,价值函数
F16,使用规则的系统架构价值评估方法
F17,偏差三元图
F18,偏差矩阵
F19,决策矩阵
F20,函数映射
F21,回溯搜索算法
F22,回溯算法
F23,基于约束规则的模型
F24,多属性决策方法
F25,多岛遗传算法
F26,多目标优化工具
F27,多目标搜索方法
F28,多目标搜索计算
F29,层次分析法
F30,帕累托优化方法
F31,帕累托前沿
F32,帕累托排序
F33,形态矩阵
F34,形态矩阵方法
F35,有限元方法
F36,权重敏感性分析
F37,极限响应面法
F38,架构决策图
F39,概率统计方
F40,理想点法
F41,直接搜索求解
F42,直接搜索算法
F43,直接模拟蒙特卡罗方法
F44,简单加权和法
F45,约束满足问题
F46,约束满足问题方法
F47,约束满足问题智能方法
F48,约束满足问题模型
F49,经验公式
F50,蒙特卡洛模拟法
F51,蒙特卡洛法
F52,蒙特卡罗方法
F53,解空间可视化
F54,随机摄动法
F55,随机有限元法
F56,领域函数
Y1,不同时使用
Y2,不泄漏
Y3,低冲击
Y4,反压
Y5,同时使用
Y6,同步起爆传爆环节
Y7,无污染
Y8,环境温度不高
Y9,选项互斥
Y10,选项关联
kp0,运载火箭
kp1,控制系统
kp2,推进系统
kp3,箭体结构
kp4,有效载荷
kp5,分离系统
kp6,一二级分离系统
kp7,二三级分离系统
kp8,整流罩分离系统
kp9,星箭分离系统
kp10,信号转化装置
kp11,电点火器A
kp12,电点火器B
kp13,电起爆器A
kp14,电起爆器B
kp15,半导体桥点火器
kp16,机械起爆器
kp17,隔板起爆器
kp18,延期点火器
kp19,信号传递装置
kp20,限制性导爆组件A
kp21,限制性导爆组件B
kp22,塑料导爆管组件A
kp23,塑料导爆管组件B
kp24,分离装置
kp25,爆炸螺栓A
kp26,爆炸螺栓B
kp27,爆炸螺栓C
kp28,爆炸螺栓D
kp29,爆炸螺栓E
kp30,分离螺母A
kp31,分离螺母B
kp32,分离螺母C
kp33,连接销式分离装置A
kp34,连接销式分离装置B
kp35,动力作动装置
kp36,火工作动筒A
kp37,火工作动筒B
kp38,火工作动筒C
kp39,分离火箭A
kp40,分离火箭B
kp41,分离火箭C
kt0,决策工具知识
kt1,UML
kt2,Sysml
kt3,MagicGrid
kt4,Harmony SE
kt5,Acradia
kt6,ADAMS
kt7,MATLAB/Simulink
kt8,ABAQUS
kt9,ANSYS
ks0,标准规范知识
ks1,ISO Standard 42010
ks2,国际开放标准组织的架构框架
ks3,航天控制系统工程通用要求
ks4,空间飞行器结构刚度控制要求
ks5,航天火工系统及装置设计要求
